     INDEX             SIGMA               VAI              VFIT
       274      0.500150E+00     -0.390441E+00     -0.166997E+01
       275      0.571187E+00     -0.162019E+03     -0.187080E+03
       276      0.471325E+00      0.790902E+02     -0.463790E+02
       277      0.113868E+00      0.440834E+04      0.427447E+04
       278      0.500098E+00     -0.255766E+00     -0.166999E+01
       279      0.289980E+00      0.941530E+03      0.767806E+03
       280      0.501556E+00     -0.403430E+01     -0.159614E+01
       281      0.500234E+00     -0.607526E+00     -0.166973E+01
       282      0.152601E+00      0.295947E+04      0.339770E+04
       283      0.500155E+00     -0.403788E+00     -0.166793E+01
       284      0.498942E+00      0.275662E+01     -0.189612E+01
       285      0.132380E+00      0.361012E+04      0.223983E+04
       286      0.500073E+00     -0.189692E+00     -0.166769E+01
       287      0.501427E+00     -0.369924E+01     -0.724936E+01
       288      0.499842E+00      0.410010E+00     -0.161454E+01
       289      0.528072E+00     -0.691080E+02     -0.101044E+03
       290      0.500001E+00     -0.304668E-02     -0.166795E+01
       291      0.121063E+00      0.406911E+04      0.330146E+04
       292      0.499603E+00      0.103321E+01     -0.174484E+01
       293      0.500239E+00     -0.620494E+00     -0.166899E+01
       294      0.499998E+00      0.552801E-02      0.200746E+02
       295      0.417817E+00      0.255703E+03      0.153696E+03
       296      0.499684E+00      0.823126E+00     -0.163774E+01
       297      0.542705E+00     -0.102297E+03     -0.118071E+03
       298      0.397719E+00      0.334319E+03      0.298772E+03
       299      0.596682E-01      0.959358E+04      0.948653E+04
       300      0.447745E+00      0.151718E+03      0.816895E+02
       301      0.500136E+00     -0.353346E+00     -0.166998E+01
       302      0.517233E+00     -0.433141E+02     -0.719727E+02
       303      0.500118E+00     -0.305810E+00     -0.167074E+01
       304      0.512119E+00     -0.307640E+02     -0.439980E+02
       305      0.500510E+00     -0.132574E+01     -0.167182E+01
       306      0.210666E+00      0.178545E+04      0.179619E+04
       307      0.548554E+00     -0.115066E+03     -0.167505E+03
       308      0.548839E+00     -0.115681E+03     -0.114298E+03
       309      0.183415E+00      0.224388E+04      0.219285E+04
       310      0.500204E+00     -0.531445E+00     -0.166991E+01
